# t_ms,yaw_deg,pitch_deg,roll_deg,range_mm,ok
1220,24.64,27.90,0.52,1880,1
1240,25.03,27.95,0.09,1878,1
1260,25.42,27.98,0.35,1882,1
1280,25.81,28.00,0.17,1885,1
1300,26.21,28.00,0.00,1900,1
1320,26.60,27.98,0.34,1908,1
1340,26.99,27.94,0.19,1929,1
1360,27.38,27.89,-0.22,1906,1
1380,27.77,27.82,0.55,1916,1
1400,28.16,27.74,0.23,1918,1
1420,28.54,27.64,-1.54,1949,1
1440,28.93,27.52,0.15,1919,1
1460,29.32,27.39,0.14,1942,1
1480,29.71,27.24,0.39,1937,1
1500,30.09,27.07,-0.31,1950,1
1520,30.48,26.89,0.21,1980,1
1540,30.86,26.69,-0.06,1949,1
1560,31.24,26.47,-0.04,1957,1
1580,31.63,26.24,-0.29,1931,1
1600,32.01,26.00,-0.70,1980,1
1620,32.39,25.74,0.57,1971,1
1640,32.77,25.46,0.89,1986,1
1660,33.15,25.17,-0.21,1959,1
1680,33.53,24.86,0.37,1979,1
1700,33.91,24.54,-1.61,2000,0
1720,34.29,24.20,-0.87,2003,0
1740,34.67,23.85,-0.90,2002,0
1760,35.05,23.49,0.72,1999,1
1780,35.42,23.11,0.11,1999,1
1800,35.80,22.72,0.08,2014,0
1820,36.17,22.31,0.92,2007,0
1840,36.55,21.89,-0.18,2024,0
1860,36.92,21.46,-0.69,2049,0
1880,37.30,21.02,-0.16,2030,0
1900,37.67,20.56,0.42,2025,0
1920,38.04,20.09,0.38,2030,0
1940,38.41,19.61,-0.91,2013,0
1960,38.78,19.11,-0.58,2043,0
1980,39.15,18.61,-0.88,2028,0
2000,39.51,18.09,0.45,2060,0
2020,39.88,17.57,-0.56,2068,0
2040,40.25,17.03,-0.68,2055,0
2060,40.61,16.48,0.95,2069,0
2080,40.98,15.93,0.94,2055,0
2100,41.34,15.36,-0.11,2083,0
2120,41.71,14.78,0.84,2054,0
2140,42.07,14.20,-0.36,2083,0
2160,42.43,13.61,0.25,2095,0
2180,42.79,13.01,-0.61,2115,0
2200,43.15,12.40,0.89,2118,0
2220,43.51,11.78,-0.11,2130,0
2240,43.86,11.16,0.61,2111,0
2260,44.22,10.53,0.07,2130,0
2280,44.58,9.89,-0.16,2154,0
2300,44.93,9.25,-0.23,2119,0
2320,45.29,8.60,0.49,2134,0
2340,45.64,7.95,-0.37,2170,0
2360,45.99,7.29,0.50,2176,0
2380,46.34,6.63,0.80,2188,0
2400,46.69,5.97,0.62,2198,0
2420,47.04,5.30,0.97,2228,0
2440,47.39,4.63,0.53,2214,0
2460,47.74,3.95,-0.65,2213,0
2480,48.08,3.27,0.64,2225,0
2500,48.43,2.60,-0.01,2248,0
2520,48.77,1.91,-0.02,2275,0
2540,49.12,1.23,0.14,2285,0
2560,49.46,0.55,0.03,2329,0
2580,49.80,-0.13,0.60,2330,0
2600,50.14,-0.82,-0.76,2338,0
2620,50.48,-1.50,0.64,2351,0
2640,50.82,-2.18,-0.36,2356,0
2660,51.15,-2.86,0.48,2406,0
2680,51.49,-3.54,0.48,2413,0
2700,51.83,-4.21,-0.71,2435,0
2720,52.16,-4.89,-0.38,2435,0
2740,52.49,-5.56,-0.34,2486,0
2760,52.82,-6.23,-0.46,2486,0
2780,53.16,-6.89,-0.07,2501,0
2800,53.48,-7.55,0.22,2528,0
2820,53.81,-8.21,0.20,2538,0
2840,54.14,-8.86,-1.17,2583,0
2860,54.47,-9.50,-0.17,2625,0
2880,54.79,-10.14,-0.53,2616,0
2900,55.12,-10.77,-0.28,2673,0
2920,55.44,-11.40,0.45,2706,0
2940,55.76,-12.02,0.20,2733,0
2960,56.08,-12.63,0.40,2770,0
2980,56.40,-13.24,-1.25,2790,0
3000,56.72,-13.84,0.79,2825,0
3020,57.04,-14.43,-0.28,2842,0
3040,57.35,-15.01,-1.05,2901,0
3060,57.67,-15.58,1.45,2917,0
3080,57.98,-16.14,0.41,2934,0
3100,58.29,-16.70,-0.07,3002,0
3120,58.60,-17.24,0.54,3021,0
3140,58.91,-17.77,-0.05,3039,0
3160,59.22,-18.30,0.50,3090,0
3180,59.53,-18.81,-0.12,3124,0
3200,59.84,-19.31,-0.22,3150,0
3220,60.14,-19.80,0.06,3212,0
3240,60.44,-20.27,-0.50,3231,0
3260,60.75,-20.74,0.68,3314,0
3280,61.05,-21.19,-1.56,3330,0
3300,61.35,-21.63,0.29,3372,0
3320,61.65,-22.06,0.26,3428,0
3340,61.94,-22.47,0.31,3450,0
3360,62.24,-22.87,0.62,3471,0
3380,62.53,-23.26,-0.42,3543,0
3400,62.83,-23.63,1.09,3601,0
3420,63.12,-23.99,-0.40,3614,0
3440,63.41,-24.34,0.11,3681,0
3460,63.70,-24.67,-0.58,3720,0
3480,63.99,-24.98,0.62,3798,0
3500,64.28,-25.28,-0.81,3807,0
3520,64.56,-25.57,0.59,3891,0
3540,64.85,-25.84,0.49,3942,0
3560,65.13,-26.10,0.16,3960,0
3580,65.41,-26.34,-0.45,3996,0
3600,65.69,-26.56,0.31,4073,0
3620,65.97,-26.77,-0.07,4116,0
3640,66.25,-26.96,0.23,4183,0
3660,66.52,-27.14,0.13,4238,0
3680,66.80,-27.30,0.47,4280,0
3700,67.07,-27.44,-0.50,4339,0
3720,67.34,-27.57,-0.00,4385,0
3740,67.62,-27.68,0.09,4446,0
3760,67.88,-27.77,0.11,4503,0
3780,68.15,-27.85,-0.76,4557,0
3800,68.42,-27.91,0.63,4620,0
3820,68.68,-27.96,-0.11,4676,0
3840,68.95,-27.99,-0.58,4734,0
3860,69.21,-28.00,0.04,4763,0
3880,69.47,-27.99,0.44,4832,0
3900,69.73,-27.97,-1.58,4889,0
3920,69.99,-27.94,0.95,4948,0
3940,70.24,-27.88,-0.82,5015,0
3960,70.50,-27.81,0.31,5071,0
3980,70.75,-27.72,0.11,5146,0
4000,71.01,-27.62,0.42,5218,0
4020,71.26,-27.50,0.36,5262,0
4040,71.50,-27.36,0.58,5343,0
4060,71.75,-27.21,-0.65,5398,0
4080,72.00,-27.04,0.44,5447,0
4100,72.24,-26.85,0.64,5509,0
4120,72.49,-26.65,0.54,5584,0
4140,72.73,-26.43,1.53,5639,0
4160,72.97,-26.20,-0.13,5722,0
4180,73.21,-25.95,1.56,5775,0
4200,73.44,-25.68,0.52,5837,0
4220,73.68,-25.40,0.00,5921,0
4240,73.91,-25.11,0.11,5964,0
4260,74.15,-24.80,0.68,6053,0
4280,74.38,-24.48,0.01,6129,0
4300,74.61,-24.14,0.32,6202,0
4320,74.84,-23.78,0.03,6268,0
4340,75.06,-23.42,0.41,6338,0
4360,75.29,-23.04,-0.38,6405,0
4380,75.51,-22.64,-0.88,6495,0
4400,75.73,-22.23,-1.21,6476,0
4420,75.95,-21.81,0.34,6454,0
4440,76.17,-21.38,-0.03,6449,0
4460,76.39,-20.93,-0.85,6420,0
4480,76.60,-20.47,0.31,6426,0
4500,76.82,-20.00,-0.53,6398,0
4520,77.03,-19.51,-1.09,6363,0
4540,77.24,-19.02,0.56,6355,0
4560,77.45,-18.51,-0.03,6304,0
4580,77.66,-17.99,-1.06,6316,0
4600,77.86,-17.46,-0.64,6267,0
4620,78.07,-16.92,-0.84,6264,0
4640,78.27,-16.37,0.15,6254,0
4660,78.47,-15.82,0.42,6243,0
4680,78.67,-15.25,0.70,6236,0
4700,78.87,-14.67,-0.30,6186,0
4720,79.07,-14.08,-0.65,6173,0
4740,79.26,-13.49,0.00,6169,0
4760,79.45,-12.89,-0.95,6160,0
4780,79.64,-12.28,-0.01,6125,0
4800,79.83,-11.66,-0.19,6124,0
4820,80.02,-11.04,-0.46,6112,0
4840,80.21,-10.41,0.21,6108,0
4860,80.39,-9.77,-0.40,6087,0
4880,80.58,-9.13,-1.63,6074,0
4900,80.76,-8.48,0.02,6054,0
4920,80.94,-7.82,0.12,6038,0
4940,81.12,-7.17,-0.83,6049,0
4960,81.29,-6.50,-0.19,6035,0
4980,81.47,-5.84,0.37,6036,0
5000,81.64,-5.17,-0.51,6024,0
5020,81.81,-4.50,-0.04,6016,0
5040,81.98,-3.82,0.18,6022,0
5060,82.15,-3.14,-0.81,6000,0
5080,82.32,-2.46,-0.44,6001,0
5100,82.48,-1.78,-0.07,5989,0
5120,82.64,-1.10,0.06,5995,0
5140,82.80,-0.42,-0.25,6006,0
5160,82.96,0.27,-0.19,6027,0
5180,83.12,0.95,0.07,6014,0
5200,83.28,1.63,-1.43,6015,0
5220,83.43,2.31,0.15,5995,0
5240,83.58,2.99,1.40,6015,0
5260,83.73,3.67,0.77,6016,0
5280,83.88,4.35,0.57,6026,0
5300,84.03,5.02,-0.09,6029,0
5320,84.18,5.69,-0.65,6035,0
5340,84.32,6.36,-0.61,6051,0
5360,84.46,7.02,1.27,6048,0
5380,84.60,7.68,0.01,6051,0
5400,84.74,8.33,0.02,6077,0
5420,84.88,8.98,0.15,6064,0
5440,85.01,9.63,0.43,6092,0
5460,85.15,10.26,1.05,6088,0
5480,85.28,10.90,0.01,6130,0
5500,85.41,11.52,-0.26,6126,0
5520,85.54,12.14,-0.42,6154,0
5540,85.66,12.75,-0.29,6159,0
5560,85.79,13.36,0.43,6158,0
5580,85.91,13.95,-0.01,6198,0
5600,86.03,14.54,0.49,6190,0
5620,86.15,15.12,0.19,6214,0
5640,86.27,15.69,0.68,6250,0
5660,86.38,16.25,1.37,6243,0
5680,86.50,16.80,0.47,6267,0
5700,86.61,17.34,-0.03,6278,0
5720,86.72,17.88,1.07,6283,0
5740,86.83,18.40,-0.73,6339,0
5760,86.94,18.90,-0.97,6324,0
5780,87.04,19.40,-0.28,6375,0
5800,87.14,19.89,-0.19,6379,0
5820,87.24,20.36,-0.65,6398,0
5840,87.34,20.83,-0.86,6419,0
5860,87.44,21.28,0.19,6438,0
5880,87.54,21.71,-0.14,6463,0
5900,87.63,22.14,0.10,6466,0
5920,87.72,22.55,0.94,6490,0
5940,87.82,22.95,-0.07,6524,0
5960,87.90,23.33,-0.42,6528,0
5980,87.99,23.70,-0.21,6541,0
6000,88.08,24.06,0.31,6574,0
6020,88.16,24.40,1.26,6595,0
6040,88.24,24.73,0.01,6597,0
6060,88.32,25.04,-1.12,6656,0
6080,88.40,25.34,0.10,6632,0
6100,88.47,25.62,0.24,6656,0
6120,88.55,25.89,0.22,6666,0
6140,88.62,26.14,0.46,6684,0
6160,88.69,26.38,-0.53,6674,0
6180,88.76,26.60,-0.62,6710,0
6200,88.83,26.81,0.38,6709,0
6220,88.89,27.00,0.38,6725,0
6240,88.95,27.17,0.18,6753,0
6260,89.02,27.33,-0.06,6759,0
6280,89.07,27.47,-0.02,6745,0
6300,89.13,27.59,-0.32,6775,0
6320,89.19,27.70,0.45,6775,0
6340,89.24,27.79,0.38,6771,0
6360,89.29,27.87,-0.33,6809,0
6380,89.34,27.92,-0.09,6792,0
6400,89.39,27.97,0.19,6811,0
6420,89.44,27.99,-0.41,6805,0
6440,89.48,28.00,-0.01,6795,0
6460,89.53,27.99,0.86,6773,0
6480,89.57,27.97,-1.05,6804,0
6500,89.61,27.93,-0.08,6799,0
6520,89.64,27.87,0.22,6792,0
6540,89.68,27.79,-0.13,6764,0
6560,89.71,27.70,-0.34,6794,0
6580,89.74,27.59,-0.82,6757,0
6600,89.77,27.47,0.20,6747,0
6620,89.80,27.33,0.26,6774,0
6640,89.83,27.17,1.34,6747,0
6660,89.85,27.00,-0.40,6727,0
6680,89.88,26.81,0.33,6729,0
6700,89.90,26.61,-0.70,6698,0
6720,89.91,26.39,0.15,6701,0
6740,89.93,26.15,-0.12,6668,0
6760,89.95,25.90,0.28,6663,0
6780,89.96,25.63,-0.05,6653,0
6800,89.97,25.35,0.63,6634,0
6820,89.98,25.05,-0.22,6639,0
6840,89.99,24.74,-0.45,6616,0
6860,89.99,24.41,0.45,6589,0
6880,90.00,24.07,-0.23,6589,0
6900,90.00,23.71,0.12,6552,0
6920,90.00,23.34,0.01,6516,0
6940,90.00,22.96,0.22,6508,0
6960,89.99,22.56,-1.19,6483,0
6980,89.99,22.15,0.16,6478,0
7000,89.98,21.73,0.53,6452,0
7020,89.97,21.29,-0.36,6436,0
7040,89.96,20.84,-0.94,6425,0
7060,89.95,20.38,-0.01,6392,0
7080,89.93,19.90,-0.10,6391,0
7100,89.92,19.42,-0.39,6365,0
7120,89.90,18.92,1.00,6346,0
7140,89.88,18.41,1.42,6315,0
7160,89.86,17.89,0.01,6297,0
7180,89.83,17.36,0.61,6288,0
7200,89.81,16.82,-1.26,6253,0
7220,89.78,16.27,0.48,6257,0
7240,89.75,15.71,1.58,6240,0
7260,89.72,15.14,0.15,6218,0
7280,89.68,14.56,0.22,6210,0
7300,89.65,13.97,-0.74,6202,0
7320,89.61,13.37,-2.07,6162,0
7340,89.57,12.77,-0.22,6161,0
7360,89.53,12.16,1.29,6148,0
7380,89.49,11.54,-0.15,6123,0
7400,89.45,10.91,-0.50,6104,0
7420,89.40,10.28,0.38,6090,0
7440,89.35,9.64,0.04,6086,0
7460,89.30,9.00,0.55,6072,0
7480,89.25,8.35,-0.09,6070,0
7500,89.20,7.70,-0.09,6062,0
7520,89.14,7.04,0.87,6031,0
7540,89.08,6.37,-0.57,6042,0
7560,89.02,5.71,0.21,6042,0
7580,88.96,5.04,0.97,6004,0
7600,88.90,4.36,0.53,6021,0
7620,88.84,3.69,-0.09,6014,0
7640,88.77,3.01,0.58,5989,0
7660,88.70,2.33,-0.17,6005,0
7680,88.63,1.65,0.05,6006,0
7700,88.56,0.97,-0.22,6008,0
7720,88.48,0.28,-1.28,5999,0
7740,88.41,-0.40,0.41,5995,0
7760,88.33,-1.08,-0.22,6017,0
7780,88.25,-1.76,0.95,6001,0
7800,88.17,-2.44,0.44,6001,0
7820,88.09,-3.12,0.02,6029,0
7840,88.00,-3.80,-0.43,6027,0
7860,87.92,-4.48,-0.05,6020,0
7880,87.83,-5.15,0.68,6025,0
7900,87.74,-5.82,-0.40,6059,0
7920,87.65,-6.49,0.30,6031,0
7940,87.55,-7.15,0.30,6034,0
7960,87.46,-7.81,-0.17,6062,0
7980,87.36,-8.46,-0.93,6072,0
8000,87.26,-9.11,-0.93,6085,0
8020,87.16,-9.75,-0.33,6079,0
8040,87.06,-10.39,0.52,6095,0
8060,86.95,-11.02,-0.24,6113,0
8080,86.84,-11.64,0.95,6132,0
8100,86.74,-12.26,0.22,6140,0
8120,86.63,-12.87,0.16,6169,0
8140,86.51,-13.47,1.49,6154,0
8160,86.40,-14.07,-1.19,6212,0
8180,86.29,-14.66,0.25,6201,0
8200,86.17,-15.23,0.40,6230,0
8220,86.05,-15.80,-0.63,6232,0
8240,85.93,-16.36,0.62,6254,0
8260,85.81,-16.91,-0.62,6258,0
8280,85.68,-17.45,-1.16,6289,0
8300,85.56,-17.98,-0.26,6304,0
8320,85.43,-18.50,-0.42,6332,0
8340,85.30,-19.00,-0.24,6335,0
8360,85.17,-19.50,-0.40,6364,0
8380,85.03,-19.98,0.45,6384,0
8400,84.90,-20.46,1.02,6418,0
8420,84.76,-20.92,-0.25,6413,0
8440,84.62,-21.36,1.14,6412,0
8460,84.48,-21.80,-0.02,6453,0
8480,84.34,-22.22,-0.82,6487,0
8500,84.20,-22.63,-0.02,6506,0
8520,84.05,-23.02,0.18,6497,0
8540,83.91,-23.41,-1.12,6552,0
8560,83.76,-23.77,0.13,6566,0
8580,83.61,-24.13,0.26,6580,0
8600,83.45,-24.47,-0.13,6607,0
8620,83.30,-24.79,-0.25,6619,0
8640,83.14,-25.10,-0.49,6634,0
8660,82.99,-25.40,1.04,6640,0
8680,82.83,-25.68,-0.09,6662,0
8700,82.67,-25.94,-0.47,6658,0
8720,82.50,-26.19,0.56,6688,0
8740,82.34,-26.42,0.31,6705,0
8760,82.17,-26.64,0.81,6712,0
8780,82.01,-26.84,-0.33,6720,0
8800,81.84,-27.03,0.04,6746,0
8820,81.67,-27.20,-0.35,6742,0
8840,81.49,-27.35,0.37,6752,0
8860,81.32,-27.49,-0.73,6768,0
8880,81.14,-27.61,0.11,6776,0
8900,80.96,-27.72,0.46,6765,0
8920,80.79,-27.81,-0.20,6779,0
8940,80.60,-27.88,0.79,6797,0
8960,80.42,-27.93,0.26,6782,0
8980,80.24,-27.97,1.39,6783,0
9000,80.05,-27.99,0.72,6789,0
9020,79.86,-28.00,0.49,6787,0
9040,79.67,-27.99,-1.52,6821,0
9060,79.48,-27.96,0.30,6787,0
9080,79.29,-27.92,-0.40,6789,0
9100,79.09,-27.85,0.05,6812,0
9120,78.90,-27.78,0.51,6761,0
9140,78.70,-27.68,0.69,6754,0
9160,78.50,-27.57,0.09,6761,0
9180,78.30,-27.44,0.07,6776,0
9200,78.10,-27.30,-1.02,6735,0
9220,77.89,-27.14,0.44,6756,0
9240,77.69,-26.97,0.52,6722,0
9260,77.48,-26.77,0.39,6726,0
9280,77.27,-26.57,-0.18,6681,0
9300,77.06,-26.34,0.44,6706,0
9320,76.85,-26.10,-1.47,6692,0
9340,76.64,-25.85,0.30,6669,0
9360,76.42,-25.58,-0.57,6682,0
9380,76.20,-25.29,0.02,6632,0
9400,75.99,-24.99,-0.27,6630,0
9420,75.77,-24.68,-0.47,6616,0
9440,75.54,-24.35,-0.32,6588,0
9460,75.32,-24.00,-0.41,6481,0
9480,75.10,-23.64,0.66,6347,0
9500,74.87,-23.27,-0.34,6259,0
9520,74.64,-22.88,0.59,6149,0
9540,74.41,-22.48,-0.07,6029,0
9560,74.18,-22.07,0.32,5944,0
9580,73.95,-21.64,-1.26,5832,0
9600,73.72,-21.20,0.20,5752,0
9620,73.48,-20.75,-0.17,5641,0
9640,73.24,-20.29,-0.26,5549,0
9660,73.00,-19.81,-0.44,5442,0
9680,72.76,-19.32,-0.37,5357,0
9700,72.52,-18.82,0.38,5262,0
9720,72.28,-18.31,0.40,5175,0
9740,72.04,-17.79,0.21,5095,0
9760,71.79,-17.25,0.12,5042,0
9780,71.54,-16.71,0.03,4937,0
9800,71.29,-16.16,-1.04,4871,0
9820,71.04,-15.60,0.10,4786,0
9840,70.79,-15.02,0.05,4714,0
9860,70.54,-14.44,0.46,4657,0
9880,70.28,-13.85,0.35,4590,0
9900,70.03,-13.26,-0.01,4508,0
9920,69.77,-12.65,-0.19,4442,0
9940,69.51,-12.04,-1.03,4379,0
9960,69.25,-11.42,-0.01,4315,0
9980,68.99,-10.79,-0.01,4246,0
10000,68.72,-10.16,-0.10,4205,0
10020,68.46,-9.52,-1.56,4167,0
10040,68.19,-8.87,-1.10,4084,0
10060,67.92,-8.22,1.59,4044,0
10080,67.66,-7.57,0.08,3950,0
10100,67.39,-6.91,-0.18,3935,0
10120,67.11,-6.24,-1.35,3886,0
10140,66.84,-5.58,0.22,3842,0
10160,66.57,-4.91,-0.35,3785,0
10180,66.29,-4.23,-0.29,3748,0
10200,66.01,-3.56,-0.31,3699,0
10220,65.73,-2.88,-0.02,3627,0
10240,65.45,-2.20,0.45,3615,0
10260,65.17,-1.52,-0.02,3563,0
10280,64.89,-0.83,0.09,3542,0
10300,64.60,-0.15,1.19,3512,0
10320,64.32,0.53,-1.15,3450,0
10340,64.03,1.21,0.92,3436,0
10360,63.74,1.90,0.49,3403,0
10380,63.46,2.58,-0.43,3352,0
10400,63.16,3.26,-0.55,3338,0
10420,62.87,3.93,-0.60,3275,0
10440,62.58,4.61,1.15,3297,0
10460,62.28,5.28,-0.44,3230,0
10480,61.99,5.95,-0.45,3213,0
10500,61.69,6.62,-0.05,3199,0
10520,61.39,7.28,0.79,3145,0
10540,61.09,7.93,0.13,3126,0
10560,60.79,8.59,-0.19,3108,0
10580,60.49,9.23,-0.42,3089,0
10600,60.19,9.88,-1.32,3040,0
10620,59.88,10.51,-0.46,3025,0
10640,59.58,11.14,0.03,3018,0
10660,59.27,11.76,0.07,3004,0
10680,58.96,12.38,-0.43,2968,0
10700,58.65,12.99,-0.10,2933,0
10720,58.34,13.59,0.32,2945,0
10740,58.03,14.18,-0.10,2920,0
10760,57.71,14.77,0.01,2915,0
10780,57.40,15.34,0.35,2895,0
10800,57.08,15.91,0.78,2872,0
10820,56.77,16.47,-0.22,2847,0
10840,56.45,17.02,-0.48,2828,0
10860,56.13,17.55,1.06,2841,0
10880,55.81,18.08,0.34,2808,0
10900,55.49,18.60,0.48,2807,0
10920,55.16,19.10,-0.76,2793,0
10940,54.84,19.59,0.27,2757,0
10960,54.52,20.08,0.06,2768,0
10980,54.19,20.55,-0.21,2727,0
11000,53.86,21.00,-0.51,2716,0
11020,53.53,21.45,-0.38,2729,0
11040,53.20,21.88,1.30,2699,0
11060,52.87,22.30,0.20,2700,0
11080,52.54,22.71,0.25,2666,0
11100,52.21,23.10,0.37,2680,0
11120,51.88,23.48,0.06,2664,0
11140,51.54,23.84,-0.12,2643,0
11160,51.21,24.20,0.78,2629,0
11180,50.87,24.53,-0.04,2595,0
11200,50.53,24.85,-0.34,2603,0
11220,50.19,25.16,0.47,2584,0
11240,49.85,25.45,0.38,2600,0
11260,49.51,25.73,-0.93,2568,0
11280,49.17,25.99,0.05,2575,0
11300,48.83,26.24,-0.67,2539,0
11320,48.48,26.47,-0.66,2527,0
11340,48.14,26.68,0.28,2516,0
11360,47.79,26.88,0.17,2503,0
11380,47.44,27.07,0.86,2480,0
11400,47.09,27.23,-1.09,2470,0
11420,46.75,27.38,-0.46,2462,0
11440,46.40,27.52,-0.21,2440,0
11460,46.04,27.64,-0.71,2442,0
11480,45.69,27.74,0.86,2424,0
11500,45.34,27.82,-0.09,2421,0
11520,44.99,27.89,-0.07,2401,0
11540,44.63,27.94,0.44,2385,0
11560,44.27,27.98,-1.44,2371,0
11580,43.92,28.00,-0.53,2358,0
11600,43.56,28.00,-0.37,2352,0
11620,43.20,27.98,1.31,2332,0
11640,42.84,27.95,-0.67,2303,0
11660,42.48,27.91,-1.44,2284,0
11680,42.12,27.84,0.22,2264,0
11700,41.76,27.76,-1.12,2264,0
11720,41.40,27.66,0.37,2239,0
11740,41.03,27.55,-0.22,2233,0
11760,40.67,27.42,0.81,2231,0
11780,40.30,27.27,0.62,2236,0
11800,39.94,27.11,0.11,2199,0
11820,39.57,26.93,0.86,2204,0
11840,39.20,26.73,0.27,2163,0
11860,38.83,26.52,0.03,2155,0
11880,38.46,26.30,-0.80,2130,0
11900,38.09,26.05,-0.93,2115,0
11920,37.72,25.80,0.32,2120,0
11940,37.35,25.52,0.84,2076,0
11960,36.98,25.23,-1.15,2086,0
11980,36.61,24.93,0.49,2082,0
12000,36.23,24.61,-0.74,2070,0
12020,35.86,24.28,0.25,2036,0
12040,35.48,23.93,0.10,2017,0
12060,35.10,23.57,-0.90,2013,0
12080,34.73,23.20,-0.84,1970,1
12100,34.35,22.81,-0.36,1964,1
12120,33.97,22.40,0.16,1960,1
12140,33.59,21.99,-0.41,1942,1
12160,33.21,21.56,0.57,1922,1
12180,32.83,21.12,0.06,1922,1
12200,32.45,20.66,0.93,1895,1
12220,32.07,20.19,0.39,1878,1
12240,31.69,19.71,-0.16,1886,1
12260,31.30,19.22,-0.67,1869,1
12280,30.92,18.72,0.12,1858,1
12300,30.53,18.21,0.40,1814,1
12320,30.15,17.68,0.77,1809,1
12340,29.76,17.15,-0.10,1800,1
12360,29.38,16.60,-0.20,1799,1
12380,28.99,16.05,-0.33,1787,1
12400,28.60,15.49,0.00,1780,1
12420,28.21,14.91,-1.65,1764,1
12440,27.83,14.33,0.02,1764,1
12460,27.44,13.74,0.06,1718,1
12480,27.05,13.14,0.64,1735,1
12500,26.66,12.53,0.93,1706,1
12520,26.26,11.92,1.44,1707,1
12540,25.87,11.30,0.41,1698,1
12560,25.48,10.67,-0.67,1686,1
12580,25.09,10.03,0.54,1695,1
12600,24.70,9.39,0.51,1691,1
12620,24.30,8.75,-1.00,1658,1
12640,23.91,8.10,-0.41,1649,1
12660,23.51,7.44,0.35,1639,1
12680,23.12,6.78,-0.16,1646,1
12700,22.72,6.11,-0.09,1637,1
12720,22.33,5.45,0.45,1631,1
12740,21.93,4.78,-0.41,1634,1
12760,21.53,4.10,0.86,1598,1
12780,21.14,3.42,0.66,1612,1
12800,20.74,2.75,-0.20,1586,1
12820,20.34,2.06,-0.86,1601,1
12840,19.94,1.38,0.43,1589,1
12860,19.54,0.70,0.96,1604,1
12880,19.14,0.02,-0.84,1577,1
12900,18.74,-0.66,0.56,1590,1
12920,18.34,-1.35,-0.78,1583,1
12940,17.94,-2.03,0.48,1587,1
12960,17.54,-2.71,-0.29,1581,1
12980,17.14,-3.39,0.47,1576,1
13000,16.74,-4.07,-1.11,1563,1
13020,16.33,-4.74,0.29,1572,1
13040,15.93,-5.41,0.53,1567,1
13060,15.53,-6.08,-0.05,1558,1
13080,15.13,-6.74,0.34,1560,1
13100,14.72,-7.40,-0.15,1583,1
13120,14.32,-8.06,0.92,1588,1
13140,13.91,-8.71,0.35,1572,1
13160,13.51,-9.36,-0.11,1584,1
13180,13.11,-10.00,-0.64,1562,1
13200,12.70,-10.63,0.81,1570,1
13220,12.30,-11.26,0.25,1571,1
13240,11.89,-11.89,0.10,1564,1
13260,11.48,-12.50,0.63,1550,1
13280,11.08,-13.11,-0.66,1564,1
13300,10.67,-13.71,-0.49,1562,1
13320,10.27,-14.30,0.63,1583,1
13340,9.86,-14.88,0.56,1559,1
13360,9.45,-15.46,-0.35,1588,1
